seg_id,time_to_failure
seg_00030f,4.343026671046691
seg_0012b5,4.345257049283973
seg_00184e,5.579978773531277
seg_003339,8.75917125536785
seg_0042cc,6.360727545023019
seg_004314,-0.24281774099873188
seg_004cd2,7.453281685300749
seg_004ee5,3.499229708752801
seg_004f1f,3.800623188486563
seg_00648a,3.3272373102878703
seg_006e4a,3.5811680973567936
seg_007a37,3.672179269925116
seg_00a37e,3.020211487030279
seg_00be11,2.6940717485231813
seg_00c35b,8.392270248609417
seg_00cc91,3.3309895374366527
seg_00e5f7,5.32190428280147
seg_00f3b9,3.0127721725332046
seg_010eab,6.648337654913104
seg_0125d9,4.188353800736288
seg_0144cb,4.470111589372579
seg_0165c6,8.81695206348287
seg_016913,2.502758806021493
seg_016cdb,4.325203904538075
seg_017314,7.130243602929105
seg_01a8dc,4.2106162315243045
seg_01c775,8.420196040237448
seg_01ecb0,3.503218227273485
seg_02042f,2.4801884914289056
seg_025e78,4.787629002614263
seg_032822,3.1669186432109337
seg_0339ca,3.7508128333768584
seg_037461,2.9847094422186453
seg_038879,8.36448712897289
seg_03d386,1.5017482009280065
seg_03d63e,3.1632783819143775
seg_03d680,8.18286919862381
seg_03f380,3.3982225627955365
seg_0445d7,5.363982601036563
seg_046c28,2.8442633703461464
seg_0488a1,7.753373936047313
seg_049957,8.902978974585432
seg_04a696,7.784434011613875
seg_04ae38,3.6826417897215293
seg_04b87a,8.124407978432735
seg_04cceb,7.816554462406522
seg_04ee93,7.076711160601274
seg_04fd93,6.0652917312290455
seg_0536c9,3.0263650461861835
seg_055127,5.924527699830727
seg_05a1b0,3.547561774966387
seg_05a4ad,7.289624587944613
seg_05b66a,8.89349139892593
seg_05bef4,2.5274797205884028
seg_05e0d7,3.7699400126063263
seg_05f126,8.414374621372776
seg_05f9d6,7.570007714438653
seg_060ce4,2.948692758806768
seg_061a33,7.444915794872633
seg_0620e6,6.0804836184140685
seg_063865,6.063200613389057
seg_065588,3.63261272106256
seg_06893f,2.3189592642325407
seg_06b8c9,4.77314796771954
seg_06bbc5,3.446880784568548
seg_06d4a2,3.262411383941088
seg_06d7ba,3.2929330100433205
seg_070bb0,1.7053904980901797
seg_071067,3.2068913754594037
seg_073696,8.84006757040142
seg_075340,3.4928688176149194
seg_075f77,3.018178343765228
seg_0775a7,2.668751721835056
seg_077b7e,4.42467012204081
seg_079e34,3.614479741530192
seg_07c815,4.065538750476188
seg_07cd72,4.745743038789355
seg_07f37c,3.4075580880274456
seg_07f8df,3.7654712487776143
seg_07fc6d,8.020434586372602
seg_086a61,8.631185231202654
seg_0870ab,4.190617122844565
seg_0879a8,7.8589890027315406
seg_08b136,7.159606252670963
seg_08f441,3.504838627516495
seg_08fd5b,4.495988043498218
seg_091c9d,8.486381966232413
seg_093a0a,7.369075449094977
seg_0968f1,6.895583273296683
seg_0981f3,3.1173400334048518
seg_09dd59,7.286751934231827
seg_09ed4e,10.065869757173058
seg_09f0ff,3.8661989763867743
seg_0a0fbb,9.274999999244523
seg_0a1bd0,5.176973880381493
seg_0a42ba,8.799204758077176
seg_0a45a1,2.5513862233829085
seg_0a97c4,3.912602070524649
seg_0aa0fb,7.9485641422840505
seg_0b07c7,5.415728868097933
seg_0b082e,8.898527631577798
seg_0b32f7,3.2271256888592728
seg_0b3b94,4.821861687714968
seg_0b48c4,2.8021138992725776
seg_0b4b24,2.663789495421801
seg_0b54ac,3.2260459686218397
seg_0b76f5,8.956456389266952
seg_0b9ad8,7.744079148412018
seg_0b9ba3,8.906195048118686
seg_0ba210,9.39625394182846
seg_0ba585,3.292153819915885
seg_0bb5fd,3.6555788297589276
seg_0bc877,2.9663121183818615
seg_0be6ee,2.4808845977983056
seg_0c12cc,7.804979062673631
seg_0c1d3a,3.3419823156770248
seg_0c247b,6.215241777941893
seg_0c3943,3.373543902406014
seg_0c4e31,2.533358210436406
seg_0c74cf,2.16028893742052
seg_0c8502,9.277008071656368
seg_0c89ce,6.941603686653792
seg_0c9aa8,9.140625280364674
seg_0cb81b,3.57818424391243
seg_0cca14,2.687253540323556
seg_0cdcc8,2.2433426841167465
seg_0cf651,1.891992499446192
seg_0d0250,3.0165034913939914
seg_0d04b9,4.449561873348478
seg_0d13a7,3.6124098982100152
seg_0d434c,9.212947473952433
seg_0d540e,2.7127476116161295
seg_0d663a,8.236976788655216
seg_0d6d68,4.280347747275547
seg_0d762e,7.121175422130295
seg_0d833c,7.0153157697740065
seg_0dae4b,3.13215489616828
seg_0dc38f,2.0503570013798686
seg_0dcc40,6.467803449551275
seg_0df469,3.661433694846608
seg_0df75c,10.33506547167389
seg_0dfe8c,3.262244958313693
seg_0e1370,2.3291981111136018
seg_0e1fbe,3.8815564228459074
seg_0e3739,4.012173579857194
seg_0e3d44,0.46514919126338083
seg_0e3ed2,2.3857419865041662
seg_0e4833,10.157179236152768
seg_0e7cc5,6.616016752678396
seg_0e8b79,11.276685125674907
seg_0e9987,3.9454949061231526
seg_0e9bb3,6.107773553732281
seg_0eb333,2.079575725881005
seg_0ebfd9,5.845741089998255
seg_0f565c,3.296907538415301
seg_0f74a3,7.09124494919372
seg_0f8961,8.659628042030766
seg_0fc67a,9.02533222262401
seg_0fca83,2.808123957619158
seg_0fd3ff,2.568593061573353
seg_1010ad,7.75165694580533
seg_103b32,4.07149378324188
seg_105cd9,2.653024462736061
seg_1084af,5.107354412384128
seg_10a595,5.035607739005044
seg_10c09d,8.462441901257142
seg_10f3a6,3.256103016311311
seg_112b81,6.191759185768679
seg_1144bc,9.078981672679781
seg_114b79,4.5437111366262934
seg_115617,3.2177653609561263
seg_115a92,3.125519762507487
seg_11647f,2.184783287606156
seg_117278,4.196107635440681
seg_117ff4,3.5140208591013327
seg_11860f,4.657653256849411
seg_1201e8,3.422583195874963
seg_121446,7.046094960363676
seg_121cba,2.9358634926903218
seg_122ba9,3.405111073214096
seg_123dd4,8.278552406690709
seg_12ac20,9.182708608831065
seg_12b9ba,6.689848537197713
seg_12ee6e,3.553124661313173
seg_130e17,2.7302166109644963
seg_13468a,4.437555150979833
seg_136285,4.853287797449187
seg_136695,8.267870375971574
seg_137f8a,7.890061629470431
seg_138807,4.4712656467700365
seg_13c2f0,3.303669659038212
seg_13e25f,6.4542411740520205
seg_140bc5,2.8447182729602574
seg_141f34,10.674026728678175
seg_146926,8.87181536466123
seg_148698,8.075905431130302
seg_14ad27,2.6002409878992143
seg_14c054,8.07953981024386
seg_14c371,8.104809298358294
seg_14c435,2.8321418003750063
seg_14c89d,4.648962647588119
seg_14c8ce,7.248917484198168
seg_14d1d3,4.873696852643905
seg_14f5f0,7.860695118809912
seg_151368,8.043096858080805
seg_151d92,2.9414651388852056
seg_153d6a,9.251689181115871
seg_154361,7.937740746023761
seg_1562cb,9.659753389921175
seg_158691,3.3725581186819618
seg_158764,6.919659025955025
seg_15adff,3.5044612373964927
seg_15bf25,7.844298907107023
seg_15c9f9,2.475307681893144
seg_161aeb,8.007005840566498
seg_161f5f,3.1362385528162076
seg_162fc4,7.694352138064621
seg_16566c,5.227165078821035
seg_166f70,10.078121822010564
seg_168d1c,7.972456100722379
seg_16a270,7.311439882398023
seg_16c3a7,2.9189639304114445
seg_17067e,4.078445039127167
seg_170684,8.194717420942322
seg_170a0c,8.711405900416977
seg_176542,6.748213872437532
seg_17799c,8.222915257141517
seg_179d90,8.217079691872666
seg_17adc0,3.6176162605610687
seg_17d1ff,3.4041190959574936
seg_17e596,8.01825763113606
seg_180481,5.382285318512906
seg_18096a,5.996750099025105
seg_1815fe,8.609069235910503
seg_1827c5,10.951738241658799
seg_184222,3.870556751699515
seg_185ad6,7.99355303633846
seg_18d1d0,2.9166536940207504
seg_18d307,2.1753065243804155
seg_18f633,2.9565729100269493
seg_18f853,4.245380436259326
seg_18fb65,2.170533873607504
seg_193404,9.09366411975986
seg_19515c,5.082621962452321
seg_195eda,4.470266772842585
seg_1969c8,8.040096180623472
seg_19b08e,3.332811119990012
seg_19b9dd,6.7940114747689755
seg_19e1ff,6.335329105402893
seg_19ec5c,9.730035350812596
seg_1a0e94,8.702736071002033
seg_1a0eca,5.014278075668119
seg_1a671a,3.3032537628678234
seg_1a791c,4.618374128696292
seg_1a8e06,2.7249428397502737
seg_1a8f0d,2.954641455615649
seg_1a8f2c,8.668728125351475
seg_1abcaf,2.8071503105115267
seg_1ac9e2,3.794453134707347
seg_1ae362,8.346777327749827
